Medio	Pregunta
Página	Con la emergencia sanitaria, ¿de donde salieron los dineros para el apoyo de la población vulnerable, los utilizados para la compra de tabletas, planes de datos, equipos, mercados?
Página	Cordial saludo Tengo una consulta dentro del proceso de rendición de cuentas de la universidad. En estos momentos de crisis sanitaria y económica: la universidad va a mostrar una menor consideración que otras instituciones como los bancos, que están ofreciendo disminuir las cuotas de los créditos o congelarlas. La Universidad Nacional al mantenernos a los estudiantes que ya hemos entregado tesis esperando hasta meses el concepto de jurado complicado que realmente más que mantener la calidad académica busca perjudicarlo por la demora en su concepto y en lo que a bien se le ocurra decir para poner trabas a cerrar un proceso de postgrado. Hasta que momento la dirección de la universidad va a permitir esto. Incluso en vez de más bien ayudar al estudiante a terminar este proceso y poner el tiempo de las personas involucradas en este más bien a ayudar a estudiantes de postgrado que van más retrasados en este proceso. La Universidad Nacional y más siendo pública debería mostrar una mayor consideración al respecto no les parece.
Página	Buenas tardes. Por qué a la Universidad se le ha hecho tan difícil habilitar sus laboratorios de Covid-19 y conseguir recursos y donaciones? Por lo que se puede ver en los medios, otras universidad se han visto más activas y han recibido recursos y equipos importantes. Qué ha pasado en la UN? Por qué no ha podido ser así? Muchas gracias.
Página	con que objetivo se hizo la tienda universitaria? sigue funcionando en cuarentena?
Página	Buen día. Deseo conocer las fechas de audiencias públicas de rendición de cuentas en las Sedes de la Universidad. Gracias.
Página	Buenas tardes. En caso de iniciar el segundo periodo del año (2020-2) virtual y por algún motivo a mitad de semestre se permita la presencialidad en la Universidad, pasamos a estudiar presencial o seguiríamos virtual? En gran parte este comentario lo digo por los profesores, ya que ellos se muestran conformes con la virtualidad. (Gran mayoría de ellos). La respuesta me gustaría directamente a mi correo institucional, gracias.
Página	La página web de la tienda universitaria no es lo suficientemente publicitada, y además no se indican los precios de los productos (y pocas personas están dispuestas a hacer todo el proceso de compra sin conocer el precio), ni se hace una descripción amplia de los productos.
Página	¿Cual es la cantidad de profesores ocasionales que tiene la universidad en cada una de sus sedes? En la medida de lo posible, discriminar los profesores por facultad o departamento.
Página	Teniendo en cuenta la contingencia actual ¿Qué plan de acción se está desarrollando para ayudar a los estudiantes que ven materias con alto contenido práctico y se encuentran fuera de Bogotá D.C.?
Página	Por qué en la estaciones agrarias no hay un plan en que los estudiantes puedan cultivar y hacer productos u derivados con el fin de hacer un comedor público u así disminuir los costos en comida y obtener mejor calidad y aprender sobre la cadena ..
Página	¿Cómo la un se plantea mejorar los exámenes de admisión dados los estudios del observatorio de género? ¿Cómo universidad cuales son los protocolos para la transparencia en el manejo de los recursos?
Página	que tramites debo realizar si quiero cancelar matricula, quiero decir salirme de la carrera
Página	Debido a la situación por la pandemia del covid 19 no e tenido las posibilidades de poder acceder a ninguna clase en ningún momento espero y comprendan la situación que la mayoría de mis compañeros estamos viviendo
Página	Luego de culminar el 2019, que consecuencias dejó la anormalidad académica resultante del paro estudiantil sucedido en el segundo semestre de 2018 a nivel financiero, académico y en el desarrollo de las actividades misionales de la Universidad (formación, investigación y extensión)?
